Deutsch;English
zu Hause ;at home
Familie ;family
Wohnung ;flat
in der Straße  auf der Straße ;in the street
Haus ;house
Tür ;door
Fernsehen  Fernseher ; television
Stuhl  Sessel ;chair
Tisch ;table
Dusche ;shower
Bad  Badewanne ;bath
Toilette ;toilet
Bett ;bed
Uhr ;clock
Kleiderschrank ;wardrobe
Küchenschrank  Schrank ;cupboard
Herd ;cooker
Wohnzimmer ;living room
Schlafzimmer ;bedroom
Küche ;kitchen
Bad  Badezimmer ;bathroom
gut ;good
Keks ;biscuit
unter ;under
helfen ;to help
sammeln ;to collect
neu ;new
klein ;small
Schwester ;sister
klein ;little
Bruder ;brother
Vater ;father
Mutter ;mother
Cousin Cousine ;cousin
Einzelkind ;only child
Papa ;dad
immer  ständig ;always
einfach  leicht ;easy
Mama ;mum
Onkel ;uncle
Tante ;aunt
Opa ;grandad
Oma ;grandma
Stammbaum ;family tree
Erzähle mir von ;Tell me about
still  ruhig  leise ;quiet
Meerschweinchen ;guinea pig
Sprache ;language
erst  bloß  nur ;only
falsch ;wrong
Danke. ;Thanks.
sehr ;very
einige  ein paar  etwas ;some
von ;of
grüßen  Grüße ausrichten  ;to say hello to
zu  nach  auf  in ;to
Problem  Schwierigkeit ;problem
da  dort  dahin  dorthin ;there
Garten ;garden
hinter ;behind
Herr (Anrede) ;Mr
Frau (Anrede) ;Mrs
jetzt  nun ;now
Auto ;car
überall ;everywhere
wieder  noch einmal  noch mal ;again
Fußboden ;floor
neben ;next to
vor ;in front of
zuhören  anhören ;to listen
Idee  Einfall ;idea
Dachboden ;loft
eigene ;own
von  bis ;from to
Antwort ;answer
Wand  Mauer ;wall
Kühlschrank ;fridge
Adresse ;address
oder ;or
mehr  weitere ;more
Fantasie  Traum ;fantasy
zeichnen ;to draw
Hilfe ;help
Stufe  Schritt ;step
belebt  beschäftigt ;busy
Modell  Tonmodell  Model ;model
wer  wem  wen ;who
auf Entdeckungsreise gehen  sich umschauen  erkunden  erforschen ;to explore
bestes ;best
Tasche  Tüte ;bag
vielleicht ;maybe
nach (zeitlich) ;after
Besuch ;visit
nach draußen  draußen  außerhalb von ;outside
schrecklich  furchtbar ;awful
Keine Sorge! ;Don't worry
Satz ;sentence
richtig  korrekt ;right
Ende  Schluss einer Geschichte ;ending
sprechen über  erzählen von ;to talk about
Tag ;day
glücklich  froh  fröhlich ;happy
Inlineskates  Rollschuhe  Schlittschuhe ;skates
kann nicht  können nicht ;can't
treffen  sich treffen ;to meet
zeigen ;to show
Spiel ;game
wollen  mögen ;to want
spielen ;to play
langweilig ;boring
Du magst doch Sport.  Du stehst doch auf Sport. ;You're into sports
Versuch es mal mit Inlineskating.  Probier mal Inlineskating. ;Try skating
Inlineskates fahren  Schlittschuh laufen ;to skate
schnell ;fast
so  also ;so
Tut mir leid! ;I'm sorry
Mir geht's gut. ;I'm fine.
niedlich  süß ;cute
Glücksbringer  Talisman ;lucky charm
SMS  Kurznachricht ;text
Lesen ;reading
Musik ;music
anmalen  malen ;to paint
Schwimmen gehen ;to go swimming
lesen ;to read
Buch ;book
fotografieren  Fotos machen ;to take photos
beobachten  ansehen  zuschauen ;to watch
Karte  Spielkarte ;card
Zeitschrift ;magazine
fernsehen ;to watch TV
DVD ;DVD
Fahrrad ;bike
dumm  doof  albern ;silly
