Deutsch;English
planen ;to plan 
Übernachtung ;sleepover 
nicht dürfen ;mustn't 
so ;like that 
Ferien ;holidays
dass ;that 
Thema, Motto ;theme 
Dekoration , Schmuck ;decorations  
nicht brauchen, nicht müssen ;needn’t 
einladen ;to invite 
dekorieren , verzieren , schmücken ;to decorate 
Trifle (englischer Nachtisch);trifle 
was sonst , was noch ;what else 
Eis , Eiscreme ;ice cream 
die ganze Nacht ;all night 
säubern , reinigen ;to clean 
besorgen , kaufen ;to get 
uns frisieren , unsere Haare machen ;to do our hair 
Einladung ;invitation 
Größe , Kleidergröße ;size 
Schließfach , Spind ;locker 
ohne ;without 
Handschuh ;glove 
sich bewegen ;to move 
außerhalb , heraus , hinaus , draußen ;out 
überhaupt ;at all 
nicht mehr ;not any more 
gewinnen , siegen ;to win 
weitergeben ;to pass on 
Paket , Päckchen ;parcel 
einwickeln , einpacken ;to wrap 
zehnmal ;ten times 
Papier ;paper 
Kreis , Ring ;circle 
jemand ;somebody 
behalten , aufbewahren , halten ;to keep 
auswickeln , auspacken ;to unwrap 
abnehmen , herunternehmen , ausziehen ;to take off 
Verpackung , Hülle ;wrapping 
vorbereiten , zubereiten ;to prepare 
Rühr- , Biskuit- ;sponge 
Tortenguss , Götterspeise , Wackelpudding , Gelee ;jelly 
Vanillesoße , Vanillepudding ;custard 
frisch ;fresh 
aus der Dose ;tinned 
Creme , Sahne ;cream 
brechen , zerbrechen ;to break 
Schale , Schälchen , Schüssel ;bowl 
in Scheiben schneiden ;to slice 
oben , obendrauf ;on top 
kalt stellen ;to leave it to cool 
einschenken , eingießen , schütten ;to pour 
schlagen ;to whip 
